sub_area,taxon,rcp,time_period,per_chg_mean,per_chg_sd
8,601342,rcp26,AAA_end,-32.19127386131893,25.244101978187622
8,601342,rcp85,AA_med,-9.627333075930151,13.427273165154464
8,601342,rcp85,AAA_end,-47.44942050100533,23.53580503978977
8,601381,rcp26,AA_med,-14.311160592276057,8.399361387059924
8,601381,rcp26,AAA_end,-31.184121135782203,33.12757087385637
8,601381,rcp85,AA_med,-14.815991111700207,8.170014974719715
8,601381,rcp85,AAA_end,-52.62322960345127,32.40551001018927
9,600024,rcp26,AA_med,0,0
9,600024,rcp26,AAA_end,0,0
9,600024,rcp85,AA_med,0,0
9,600024,rcp85,AAA_end,0,0
9,600030,rcp26,AA_med,-28.26934125606162,16.902337590480208
9,600030,rcp26,AAA_end,-40.085951983182184,16.432181508378232
9,600030,rcp85,AA_med,-31.250468310320006,15.061585820115923
9,600030,rcp85,AAA_end,-26.645021864685184,34.18571903347161
9,600066,rcp26,AA_med,-19.335273379379217,40.03959455052047
9,600066,rcp26,AAA_end,-31.493294147420094,38.76259697983482
9,600066,rcp85,AA_med,-19.128105836645016,42.804044548416286
9,600066,rcp85,AAA_end,-29.484980870182383,61.3972153535428
9,600069,rcp26,AA_med,0,0
9,600069,rcp26,AAA_end,0,0
9,600069,rcp85,AA_med,0,0
9,600069,rcp85,AAA_end,0,0
9,600118,rcp26,AA_med,-32.52180445068181,37.704733631973994
9,600118,rcp26,AAA_end,-48.37148056810587,37.88589864009218
9,600118,rcp85,AA_med,-30.382191925109954,35.48124573198792
9,600118,rcp85,AAA_end,-83.8109672495037,48.66705192963144
9,600525,rcp26,AA_med,-14.706406401073268,34.668515505487555
9,600525,rcp26,AAA_end,-25.36322994097368,33.236136016322504
9,600525,rcp85,AA_med,-12.337484525512087,35.38745914289549
9,600525,rcp85,AAA_end,-21.35127044552314,54.42124070774684
9,601278,rcp26,AA_med,5.745720117906411,23.984082168810446
9,601278,rcp26,AAA_end,-4.511164348602432,26.93301859241196
9,601278,rcp85,AA_med,1.9321651228270182,40.11706763928704
9,601278,rcp85,AAA_end,-2.2642855977671674,87.49692368363097
9,601342,rcp26,AA_med,-10.32746242274201,22.200296124790245
9,601342,rcp26,AAA_end,-27.331741420624095,30.25343741054237
9,601342,rcp85,AA_med,-11.250041552576167,22.59875867530665
9,601342,rcp85,AAA_end,-27.585765766854376,48.09339674119334
9,601381,rcp26,AA_med,0,0
9,601381,rcp26,AAA_end,0,0
9,601381,rcp85,AA_med,0,0
9,601381,rcp85,AAA_end,0,0
